ID,CommunityID,Bidoffer ,RichnessIndex,Proportion,AveSizePlot,Area,Plots,YoungFarmer,OldFarmer,Age,Male ,Female ,PriceHa,PricePlot,Averagesizeplot,SmallPlot,LargePlot,CWRhotspotgenus,Elevation,TransactionCost,Ecoregion1,Ecoregion2,Community ,nonGMA,GMA ,SmallFarms,FarmSize,VignaUnguiculata,VignaJuncea,EleusineCoracana,PennisetumPurpureum,SorghumBicolar ,SolanumIncanum,EleusineIndica ,Cucumis Zeyheri,OryzaLongistaminata,Richness
27,C2,18.3,6,22.2,0.3,0.5,2,0,1,52,1,0,36.68,9.17,0.25,1,0,2,994,4.6,1,0,2,1,0,0,2.25,0,0,0,0,0,0,0,0,0,0
28,C2,18.3,6,50.0,0.3,0.5,2,1,0,26,1,0,36.68,9.17,0.25,1,0,2,994,4.6,1,0,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0
29,C2,18.3,6,66.7,0.3,0.5,2,1,0,24,1,0,36.68,9.17,0.25,1,0,2,994,4.6,1,0,2,1,0,1,0.75,0,0,0,0,0,0,0,0,0,0
30,C2,18.3,6,25.0,0.3,0.5,2,0,1,38,1,0,36.68,9.17,0.25,1,0,2,994,4.6,1,0,2,1,0,1,2,0,0,0,0,0,0,0,0,0,0
31,C2,18.3,6,16.7,0.3,0.5,2,0,1,54,1,0,36.68,9.17,0.25,1,0,2,994,4.6,1,0,2,1,0,0,3,0,0,0,0,0,0,0,0,0,0
32,C2,18.3,6,25.0,0.3,0.5,2,0,1,41,1,0,36.68,9.17,0.25,1,0,2,994,4.6,1,0,2,1,0,1,2,0,0,0,0,0,0,0,0,0,0
33,C2,18.3,6,20.0,0.3,0.5,2,0,1,44,0,1,36.68,9.17,0.25,1,0,2,994,4.6,1,0,2,1,0,0,2.5,0,0,0,0,0,0,0,0,0,0
34,C2,18.3,6,16.7,0.3,0.5,2,0,1,54,1,0,36.68,9.17,0.25,1,0,2,994,4.6,1,0,2,1,0,0,3,0,0,0,0,0,0,0,0,0,0
35,C2,18.3,6,,0.3,0.5,2,0,1,60,0,1,36.68,9.17,0.25,1,0,2,994,4.6,1,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0
37,C3,137.6,5,22.2,0.5,0.5,1,0,1,44,1,0,275.1,137.55,0.5,1,0,2,970,34.4,1,0,3,1,0,0,2.25,1,1,1,0,0,0,0,0,0,3
41,C3,45.9,5,10.0,0.3,0.3,1,0,1,45,1,0,183.4,45.85,0.25,1,0,2,970,11.5,1,0,3,1,0,0,2.5,1,1,1,0,0,0,0,0,0,3
48,C3,45.9,5,16.7,0.3,0.3,1,0,1,57,1,0,183.4,45.85,0.25,1,0,2,970,11.5,1,0,3,1,0,1,1.5,1,1,1,0,0,0,0,0,0,3
51,C4,137.6,5,10.0,0.1,0.3,2,0,1,61,1,0,550.2,68.78,0.13,1,0,2,990,34.4,1,0,4,1,0,0,2.5,1,0,0,0,0,0,0,0,0,1
52,C4,183.4,5,20.0,0.1,0.5,4,1,0,29,1,0,366.8,45.85,0.13,1,0,2,990,45.9,1,0,4,1,0,0,2.5,1,0,0,0,0,0,0,0,0,1
53,C4,91.7,5,14.3,0.1,0.3,2,0,1,39,1,0,366.8,45.85,0.13,1,0,2,990,22.9,1,0,4,1,0,1,1.75,1,0,0,0,0,0,0,0,0,1
54,C4,82.5,5,12.5,0.1,0.3,2,0,1,45,0,1,330.12,41.27,0.13,1,0,2,990,20.6,1,0,4,1,0,1,2,1,0,0,0,0,0,0,0,0,1
55,C4,137.6,5,33.3,0.3,0.5,2,0,1,39,0,1,275.1,68.78,0.25,1,0,2,990,34.4,1,0,4,1,0,1,1.5,1,0,0,0,0,0,0,0,0,1
56,C4,100.9,5,18.8,0.2,0.4,2,0,1,42,1,0,268.99,50.44,0.19,1,0,2,990,25.2,1,0,4,1,0,1,2,1,0,0,0,0,0,0,0,0,1
57,C4,110,5,40.0,0.3,0.5,2,0,1,38,1,0,220.08,55.02,0.25,1,0,2,990,27.5,1,0,4,1,0,1,1.25,1,0,0,0,0,0,0,0,0,1
58,C4,110,5,30.0,0.2,0.4,2,1,0,22,1,0,293.44,55.02,0.19,1,0,2,990,27.5,1,0,4,1,0,1,1.25,1,0,0,0,0,0,0,0,0,1
59,C4,91.7,5,12.5,0.3,0.3,1,0,1,36,1,0,366.8,91.7,0.25,1,0,2,990,22.9,1,0,4,1,0,1,2,1,0,0,0,0,0,0,0,0,1
60,C4,91.7,5,20.0,0.3,0.3,1,0,1,35,1,0,366.8,91.7,0.25,1,0,2,990,22.9,1,0,4,1,0,1,1.25,1,0,0,0,0,0,0,0,0,1
61,C4,165.1,5,40.0,0.3,0.5,2,0,1,42,0,1,330.12,82.53,0.25,1,0,2,990,41.3,1,0,4,1,0,1,1.25,1,0,0,0,0,0,0,0,0,1
62,C4,137.6,5,25.0,0.3,0.5,2,0,1,37,1,0,275.1,68.78,0.25,1,0,2,990,34.4,1,0,4,1,0,1,2,1,0,0,0,0,0,0,0,0,1
63,C4,146.7,5,33.3,0.5,0.5,1,0,1,50,0,1,293.44,146.72,0.5,1,0,2,990,36.7,1,0,4,1,0,1,1.5,1,0,0,0,0,0,0,0,0,1
64,C4,82.5,5,20.0,0.3,0.3,1,0,1,39,1,0,330.12,82.53,0.25,1,0,2,990,20.6,1,0,4,1,0,1,1.25,1,0,0,0,0,0,0,0,0,1
65,C4,55,5,14.3,0.3,0.3,1,1,0,30,0,1,220.08,55.02,0.25,1,0,2,990,13.8,1,0,4,1,0,1,1.75,1,0,0,0,0,0,0,0,0,1
66,C4,45.9,5,5.6,0.1,0.1,1,1,0,24,0,1,366.8,45.85,0.13,1,0,2,990,11.5,1,0,4,1,0,0,2.25,1,0,0,0,0,0,0,0,0,1
67,C4,91.7,5,16.7,0.1,0.3,2,0,1,47,1,0,366.8,45.85,0.13,1,0,2,990,22.9,1,0,4,1,0,1,1.5,1,0,0,0,0,0,0,0,0,1
68,C4,45.9,5,6.3,0.1,0.1,1,0,1,39,0,1,366.8,45.85,0.13,1,0,2,990,11.5,1,0,4,1,0,1,2,1,0,0,0,0,0,0,0,0,1
69,C4,64.2,5,7.1,0.1,0.1,1,0,1,43,1,0,513.52,64.19,0.13,1,0,2,990,16,1,0,4,1,0,1,1.75,1,0,0,0,0,0,0,0,0,1
70,C4,82.5,5,16.7,0.1,0.4,3,0,1,51,0,1,220.08,27.51,0.13,1,0,2,990,20.6,1,0,4,1,0,0,2.25,1,0,0,0,0,0,0,0,0,1
73,C5,137.6,4,33.3,0.3,0.5,1.5,0,1,50,1,0,280.71,91.7,0.33,1,0,0,1152,34.4,1,0,5,1,0,1,1.47,0,0,0,0,0,0,0,0,0,0
74,C5,137.6,4,33.3,0.5,0.5,1,0,1,47,1,0,280.71,137.55,0.49,1,0,0,1152,34.4,1,0,5,1,0,1,1.47,0,0,0,0,0,0,0,0,0,0
75,C5,45.9,4,50.0,0.5,0.5,1,0,1,42,0,1,93.57,45.85,0,1,0,0,1152,11.5,1,0,5,1,0,1,0.98,0,0,0,0,0,0,0,0,0,0
79,C5,183.4,4,50.0,0.7,0.7,1,0,1,46,1,0,249.52,183.4,0,1,0,0,1152,45.9,1,0,5,1,0,1,1.47,0,0,0,0,0,0,0,0,0,0
80,C5,165.1,4,50.0,0.5,0.5,1,0,1,35,0,1,336.86,165.06,0,1,0,0,1152,41.3,1,0,5,1,0,1,0.98,0,0,0,0,0,0,0,0,0,0
81,C5,155.9,4,50.0,0.5,0.5,1,0,1,36,0,1,318.14,155.89,0,1,0,0,1152,39,1,0,5,1,0,1,0.98,0,0,0,0,0,0,0,0,0,0
82,C5,229.3,4,100.0,0.5,1,2,0,1,37,1,0,233.93,114.63,0,1,0,0,1152,57.3,1,0,5,1,0,1,0.98,0,0,0,0,0,0,0,0,0,0
83,C5,275.1,4,100.0,0.5,1,2,0,1,65,1,0,280.71,137.55,0,1,0,0,1152,68.8,1,0,5,1,0,1,0.98,0,0,0,0,0,0,0,0,0,0
84,C5,146.7,4,100.0,0.5,0.5,1,0,1,35,1,0,299.43,146.72,0,1,0,0,1152,36.7,1,0,5,1,0,1,0.49,0,0,0,0,0,0,0,0,0,0
87,C5,137.6,4,100.0,0.5,0.5,1,1,0,28,0,1,280.71,137.55,0,1,0,0,1152,34.4,1,0,5,1,0,1,0.49,0,0,0,0,0,0,0,0,0,0
88,C5,174.2,4,100.0,0.5,0.5,1,0,1,45,0,1,355.57,174.23,0,1,0,0,1152,43.6,1,0,5,1,0,1,0.49,0,0,0,0,0,0,0,0,0,0
89,C5,82.5,4,100.0,0.5,0.5,1,0,1,38,1,0,168.43,82.53,0,1,0,0,1152,20.6,1,0,5,1,0,1,0.49,0,0,0,0,0,0,0,0,0,0
91,C6,178.8,4,6.3,0.5,0.5,1,0,1,61,1,0,364.93,178.82,0.49,1,0,1,847,44.7,1,0,6,1,0,0,7.84,1,0,0,0,1,1,1,0,0,4
92,C6,64.2,4,20.0,1.0,2,2,1,0,25,0,1,32.75,32.1,0.98,0,1,1,847,16,1,0,6,1,0,0,9.8,1,0,0,0,1,1,1,0,0,4
93,C6,174.2,4,10.0,1.0,1,1,0,1,40,0,1,177.79,174.23,0.98,0,1,1,847,43.6,1,0,6,1,0,0,9.8,1,0,0,0,1,1,1,0,0,4
94,C6,165.1,4,20.0,0.1,0.5,4,0,1,40,0,1,336.86,41.27,0.12,1,0,1,847,41.3,1,0,6,1,0,0,2.45,1,0,0,0,1,1,1,0,0,4
95,C6,91.7,4,37.5,0.7,1.5,2,0,1,58,1,0,62.38,45.85,0.74,1,0,1,847,22.9,1,0,6,1,0,0,3.92,1,0,0,0,1,1,1,0,0,4
96,C6,110,4,20.0,0.2,1,4,1,0,28,1,0,112.29,27.51,0.25,1,0,1,847,27.5,1,0,6,1,0,0,4.9,1,0,0,0,1,1,1,0,0,4
97,C6,137.6,4,16.7,0.5,2,4,0,1,52,0,1,70.18,34.39,0.49,1,0,1,847,34.4,1,0,6,1,0,0,11.76,1,0,0,0,1,1,1,0,0,4
98,C6,91.7,4,50.0,0.5,2.5,5,1,0,29,0,1,37.43,18.34,0.49,1,0,1,847,22.9,1,0,6,1,0,0,4.9,1,0,0,0,1,1,1,0,0,4
99,C6,73.4,4,26.7,1.0,2,2,0,1,42,0,1,37.43,36.68,0.98,0,1,1,847,18.3,1,0,6,1,0,0,7.35,1,0,0,0,1,1,1,0,0,4
100,C6,45.9,4,50.0,2.0,3.9,2,0,1,39,0,1,11.7,22.93,1.96,0,1,1,847,11.5,1,0,6,1,0,0,7.84,1,0,0,0,1,1,1,0,0,4
101,C6,45.9,4,25.0,0.2,0.5,2,1,0,23,1,0,93.57,22.93,0.25,1,0,1,847,11.5,1,0,6,1,0,1,1.96,1,0,0,0,1,1,1,0,0,4
102,C6,73.4,4,10.7,0.5,1.5,3,0,1,43,1,0,49.9,24.45,0.49,1,0,1,847,18.3,1,0,6,1,0,0,13.72,1,0,0,0,1,1,1,0,0,4
103,C6,55,4,62.5,2.5,4.9,2,0,1,47,1,0,11.23,27.51,2.45,0,1,1,847,13.8,1,0,6,1,0,0,7.84,1,0,0,0,1,1,1,0,0,4
104,C6,45.9,4,30.0,0.5,1.5,3,1,0,32,1,0,31.19,15.28,0.49,1,0,1,847,11.5,1,0,6,1,0,0,4.9,1,0,0,0,1,1,1,0,0,4
105,C6,137.6,4,37.5,0.5,1.5,3,0,1,49,0,1,93.57,45.85,0.49,1,0,1,847,34.4,1,0,6,1,0,0,3.92,1,0,0,0,1,1,1,0,0,4
106,C6,55,4,50.0,1.0,2,2,1,0,25,1,0,28.07,27.51,0.98,0,1,1,847,13.8,1,0,6,1,0,0,3.92,1,0,0,0,1,1,1,0,0,4
107,C6,137.6,4,22.2,0.5,1,2,0,1,41,0,1,140.36,68.78,0.49,1,0,1,847,34.4,1,0,6,1,0,0,4.41,1,0,0,0,1,1,1,0,0,4
108,C6,55,4,20.0,0.5,1,2,0,1,42,0,1,56.14,27.51,0.49,1,0,1,847,13.8,1,0,6,1,0,0,4.9,1,0,0,0,1,1,1,0,0,4
109,C6,45.9,4,20.0,0.2,0.5,2,1,0,26,0,1,93.57,22.93,0.25,1,0,1,847,11.5,1,0,6,1,0,0,2.45,1,0,0,0,1,1,1,0,0,4
110,C6,82.5,4,10.7,0.5,1.5,3,1,0,30,1,0,56.14,27.51,0.49,1,0,1,847,20.6,1,0,6,1,0,0,13.72,1,0,0,0,1,1,1,0,0,4
111,C7,183.4,3,40.0,0.5,1,2,1,0,29,1,0,187.14,91.7,0.49,1,0,0,1103,45.9,1,0,7,1,0,0,2.45,0,0,0,0,0,0,0,0,0,0
112,C7,183.4,3,33.3,0.5,1,2,0,1,56,0,1,187.14,91.7,0.49,1,0,0,1103,45.9,1,0,7,1,0,0,2.94,0,0,0,0,0,0,0,0,0,0
113,C7,45.9,3,50.0,0.5,1,2,1,0,20,1,0,46.79,22.93,0.49,1,0,0,1103,11.5,1,0,7,1,0,1,1.96,0,0,0,0,0,0,0,0,0,0
114,C7,137.6,3,28.6,0.5,1,2,0,1,54,1,0,140.36,68.78,0.49,1,0,0,1103,34.4,1,0,7,1,0,0,3.43,0,0,0,0,0,0,0,0,0,0
115,C7,73.4,3,20.0,0.5,0.5,1,0,1,50,1,0,149.71,73.36,0.49,1,0,0,1103,18.3,1,0,7,1,0,0,2.45,0,0,0,0,0,0,0,0,0,0
116,C7,91.7,3,25.0,0.5,1,2,0,1,56,1,0,93.57,45.85,0.49,1,0,0,1103,22.9,1,0,7,1,0,0,3.92,0,0,0,0,0,0,0,0,0,0
117,C7,82.5,3,25.0,0.5,0.5,1,0,1,56,0,1,168.43,82.53,0.49,1,0,0,1103,20.6,1,0,7,1,0,1,1.96,0,0,0,0,0,0,0,0,0,0
118,C7,45.9,3,16.7,0.5,0.5,1,0,1,71,0,1,93.57,45.85,0.49,1,0,0,1103,11.5,1,0,7,1,0,0,2.94,0,0,0,0,0,0,0,0,0,0
119,C7,64.2,3,20.0,0.5,0.5,1,0,1,60,0,1,131,64.19,0.49,1,0,0,1103,16,1,0,7,1,0,0,2.45,0,0,0,0,0,0,0,0,0,0
120,C7,91.7,3,33.3,0.5,0.5,1,1,0,32,1,0,187.14,91.7,0.49,1,0,0,1103,22.9,1,0,7,1,0,1,1.47,0,0,0,0,0,0,0,0,0,0
121,C7,91.7,3,33.3,0.5,0.5,1,1,0,31,0,1,187.14,91.7,0.49,1,0,0,1103,22.9,1,0,7,1,0,1,1.47,0,0,0,0,0,0,0,0,0,0
122,C7,45.9,3,20.0,0.5,0.5,1,0,1,75,1,0,93.57,45.85,0.49,1,0,0,1103,11.5,1,0,7,1,0,0,2.45,0,0,0,0,0,0,0,0,0,0
123,C7,91.7,3,25.0,0.5,0.5,1,0,1,57,0,1,187.14,91.7,0.49,1,0,0,1103,22.9,1,0,7,1,0,1,1.96,0,0,0,0,0,0,0,0,0,0
124,C7,73.4,3,50.0,0.5,1,2,0,1,42,1,0,74.86,36.68,0.49,1,0,0,1103,18.3,1,0,7,1,0,1,1.96,0,0,0,0,0,0,0,0,0,0
125,C8,22.9,5,25.0,0.3,0.5,2,0,1,40,1,0,45.85,11.46,0.25,1,0,1,1082,5.7,1,0,8,0,1,1,2,0,0,0,0,0,0,0,0,0,0
126,C8,55,5,50.0,0.4,1.5,4,0,1,45,1,0,36.68,13.76,0.38,1,0,1,1082,13.8,1,0,8,0,1,0,3,0,0,0,0,0,0,0,0,0,0
127,C8,27.5,5,16.7,0.3,0.5,2,0,1,74,1,0,55.02,13.76,0.25,1,0,1,1082,6.9,1,0,8,0,1,0,3,0,0,0,0,0,0,0,0,0,0
128,C8,55,5,25.0,1.0,1,1,0,1,40,1,0,55.02,55.02,1,0,1,1,1082,13.8,1,0,8,0,1,0,4,0,0,0,0,0,0,0,0,0,0
129,C8,27.5,5,25.0,0.5,0.5,1,0,1,49,0,1,55.02,27.51,0.5,1,0,1,1082,6.9,1,0,8,0,1,1,2,0,0,0,0,0,0,0,0,0,0
130,C8,13.8,5,20.0,0.5,0.5,1,0,1,40,1,0,27.51,13.76,0.5,1,0,1,1082,3.4,1,0,8,0,1,0,2.5,0,0,0,0,0,0,0,0,0,0
131,C8,18.3,5,25.0,0.5,0.5,1,0,1,35,1,0,36.68,18.34,0.5,1,0,1,1082,4.6,1,0,8,0,1,1,2,0,0,0,0,0,0,0,0,0,0
132,C8,27.5,5,50.0,0.5,1,2,0,1,36,0,1,27.51,13.76,0.5,1,0,1,1082,6.9,1,0,8,0,1,1,2,0,0,0,0,0,0,0,0,0,0
133,C8,55,5,37.5,0.5,1.5,3,0,1,40,1,0,36.68,18.34,0.5,1,0,1,1082,13.8,1,0,8,0,1,0,4,0,0,0,0,0,0,0,0,0,0
134,C8,55,5,37.5,0.5,1.5,3,0,1,37,1,0,36.68,18.34,0.5,1,0,1,1082,13.8,1,0,8,0,1,0,4,0,0,0,0,0,0,0,0,0,0
135,C8,77.9,5,40.0,1.0,2,2,1,0,30,1,0,38.97,38.97,1,0,1,1,1082,19.5,1,0,8,0,1,0,5,0,0,0,0,0,0,0,0,0,0
136,C8,55,5,25.0,1.0,1,1,0,1,60,0,1,55.02,55.02,1,0,1,1,1082,13.8,1,0,8,0,1,0,4,0,0,0,0,0,0,0,0,0,0
137,C8,27.5,5,50.0,1.0,1,1,1,0,28,1,0,27.51,27.51,1,0,1,1,1082,6.9,1,0,8,0,1,1,2,0,0,0,0,0,0,0,0,0,0
138,C8,32.1,5,40.0,0.5,1,2,0,1,42,0,1,32.1,16.05,0.5,1,0,1,1082,8,1,0,8,0,1,0,2.5,0,0,0,0,0,0,0,0,0,0
139,C8,27.5,5,50.0,1.0,1,1,1,0,27,0,1,27.51,27.51,1,0,1,1,1082,6.9,1,0,8,0,1,1,2,0,0,0,0,0,0,0,0,0,0
140,C8,32.1,5,33.3,1.5,1.5,1,0,1,57,1,0,21.4,32.1,1.5,0,1,1,1082,8,1,0,8,0,1,0,4.5,0,0,0,0,0,0,0,0,0,0
141,C8,55,5,25.0,1.0,1,1,1,0,31,0,1,55.02,55.02,1,0,1,1,1082,13.8,1,0,8,0,1,0,4,0,0,0,0,0,0,0,0,0,0
142,C8,137.6,5,25.0,1.3,2.5,2,0,1,40,1,0,55.02,68.78,1.25,0,1,1,1082,34.4,1,0,8,0,1,0,10,0,0,0,0,0,0,0,0,0,0
143,C8,155.9,5,37.5,1.5,3,2,1,0,34,1,0,51.96,77.95,1.5,0,1,1,1082,39,1,0,8,0,1,0,8,0,0,0,0,0,0,0,0,0,0
144,C8,155.9,5,37.5,1.5,3,2,0,1,37,1,0,51.96,77.95,1.5,0,1,1,1082,39,1,0,8,0,1,0,8,0,0,0,0,0,0,0,0,0,0
145,C8,27.5,5,,1.0,1,1,0,1,37,0,1,27.51,27.51,1,0,1,1,1082,6.9,1,0,8,0,1,1,0,0,0,0,0,0,0,0,0,0,0
146,C8,27.5,5,40.0,1.0,1,1,1,0,33,1,0,27.51,27.51,1,0,1,1,1082,6.9,1,0,8,0,1,0,2.5,0,0,0,0,0,0,0,0,0,0
147,C8,27.5,5,40.0,1.0,1,1,0,1,67,0,1,27.51,27.51,1,0,1,1,1082,6.9,1,0,8,0,1,0,2.5,0,0,0,0,0,0,0,0,0,0
148,C8,33,5,50.0,1.0,1,1,1,0,24,1,0,33.01,33.01,1,0,1,1,1082,8.3,1,0,8,0,1,1,2,0,0,0,0,0,0,0,0,0,0
