Model,CWR,CWRabrev,CWR_Full,Cost(original),Cost,Ha(original),Ha
DIVERSITY,CZ,C.zeyheri,Cucumis Zeyheri,366.8,458.5,0.5,1.5
DIVERSITY,CZ,C.zeyheri,Cucumis Zeyheri,366.8,825.3,0.5,2.0
DIVERSITY,CZ,C.zeyheri,Cucumis Zeyheri,412.7,1238.0,0.5,2.5
DIVERSITY,CZ,C.zeyheri,Cucumis Zeyheri,412.7,1650.7,0.5,3.0
DIVERSITY,OL,O.longistaminata,OryzaLongistaminata,36.7,36.7,0.5,0.5
DIVERSITY,OL,O.longistaminata,OryzaLongistaminata,45.9,82.6,0.8,0.8
DIVERSITY,OL,O.longistaminata,OryzaLongistaminata,45.9,128.5,0.8,1.6
DIVERSITY,OL,O.longistaminata,OryzaLongistaminata,45.9,174.4,1,2.6
DIVERSITY,OL,O.longistaminata,OryzaLongistaminata,55,229.4,0.3,2.9
DIVERSITY,OL,O.longistaminata,OryzaLongistaminata,55,284.4,0.3,3.2
DIVERSITY,OL,O.longistaminata,OryzaLongistaminata,88,372.4,2,5.2
DIVERSITY,OL,O.longistaminata,OryzaLongistaminata,110,482.4,0.5,5.7
DIVERSITY,OL,O.longistaminata,OryzaLongistaminata,114.6,597.0,3,8.7
DIVERSITY,OL,O.longistaminata,OryzaLongistaminata,220.1,817.1,1,9.7
,,,,,,,
,,,,,,,
,,,,,,,
