Objective,ID,CommunityID,Bidoffer ,Area,Plots,YoungFarmer,OldFarmer,Age,Male ,Female ,PriceHa,PricePlot,Averagesizeplot,SmallPlot,LargePlot,CWRhotspotgenus,Elevation,TransactionCost,Ecoregion,Ecoregion1,Ecoregion2,Community ,nonGMA,GMA ,SmallFarms,FarmSize,VignaUnguiculata,VignaJuncea,EleusineCoracana,PennisetumPurpureum,SorghumBicolar ,SolanumIncanum,EleusineIndica ,Cucumis Zeyheri,OryzaLongistaminata,Richness,DecisionCells
BASIC,126,C8,55,1.5,4,0,1,45,1,0,36.68,13.76,0.38,1,0,1,1082,13.8,1,1,0,8,0,1,0,3,0,0,0,0,0,0,0,0,0,0,1
BASIC,129,C8,27.5,0.5,1,0,1,49,0,1,55.02,27.51,0.5,1,0,1,1082,6.9,1,1,0,8,0,1,1,2,0,0,0,0,0,0,0,0,0,0,1
BASIC,130,C8,13.8,0.5,1,0,1,40,1,0,27.51,13.76,0.5,1,0,1,1082,3.4,1,1,0,8,0,1,0,2.5,0,0,0,0,0,0,0,0,0,0,1
BASIC,131,C8,18.3,0.5,1,0,1,35,1,0,36.68,18.34,0.5,1,0,1,1082,4.6,1,1,0,8,0,1,1,2,0,0,0,0,0,0,0,0,0,0,1
BASIC,132,C8,27.5,1,2,0,1,36,0,1,27.51,13.76,0.5,1,0,1,1082,6.9,1,1,0,8,0,1,1,2,0,0,0,0,0,0,0,0,0,0,1
BASIC,133,C8,55,1.5,3,0,1,40,1,0,36.68,18.34,0.5,1,0,1,1082,13.8,1,1,0,8,0,1,0,4,0,0,0,0,0,0,0,0,0,0,1
BASIC,134,C8,55,1.5,3,0,1,37,1,0,36.68,18.34,0.5,1,0,1,1082,13.8,1,1,0,8,0,1,0,4,0,0,0,0,0,0,0,0,0,0,1
BASIC,135,C8,77.9,2,2,1,0,30,1,0,38.97,38.97,1,0,1,1,1082,19.5,1,1,0,8,0,1,0,5,0,0,0,0,0,0,0,0,0,0,1
BASIC,137,C8,27.5,1,1,1,0,28,1,0,27.51,27.51,1,0,1,1,1082,6.9,1,1,0,8,0,1,1,2,0,0,0,0,0,0,0,0,0,0,1
BASIC,138,C8,32.1,1,2,0,1,42,0,1,32.1,16.05,0.5,1,0,1,1082,8,1,1,0,8,0,1,0,2.5,0,0,0,0,0,0,0,0,0,0,1
BASIC,139,C8,27.5,1,1,1,0,27,0,1,27.51,27.51,1,0,1,1,1082,6.9,1,1,0,8,0,1,1,2,0,0,0,0,0,0,0,0,0,0,1
BASIC,140,C8,32.1,1.5,1,0,1,57,1,0,21.4,32.1,1.5,0,1,1,1082,8,1,1,0,8,0,1,0,4.5,0,0,0,0,0,0,0,0,0,0,1
BASIC,145,C8,27.5,1,1,0,1,37,0,1,27.51,27.51,1,0,1,1,1082,6.9,1,1,0,8,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
BASIC,146,C8,27.5,1,1,1,0,33,1,0,27.51,27.51,1,0,1,1,1082,6.9,1,1,0,8,0,1,0,2.5,0,0,0,0,0,0,0,0,0,0,1
BASIC,147,C8,27.5,1,1,0,1,67,0,1,27.51,27.51,1,0,1,1,1082,6.9,1,1,0,8,0,1,0,2.5,0,0,0,0,0,0,0,0,0,0,1
BASIC,148,C8,33,1,1,1,0,24,1,0,33.01,33.01,1,0,1,1,1082,8.3,1,1,0,8,0,1,1,2,0,0,0,0,0,0,0,0,0,0,1
BASIC,149,C8,27.5,1,2,0,1,43,0,1,27.51,13.76,0.5,1,0,1,1082,6.9,1,1,0,8,0,1,0,3,0,0,0,0,0,0,0,0,0,0,1
BASIC,150,C8,55,2,1,0,1,45,1,0,27.51,55.02,2,0,1,1,1082,13.8,1,1,0,8,0,1,0,5,0,0,0,0,0,0,0,0,0,0,1
BASIC,263,C14,45.9,2,,0,1,64,1,0,22.93,,,,,0,1401,11.5,2,0,1,14,0,1,1,2,0,0,0,0,0,0,0,0,0,0,1
BASIC,267,C14,22.9,3,3,0,1,29,1,0,7.64,7.64,1,0,1,0,1401,5.7,2,0,1,14,0,1,1,2,0,0,0,0,0,0,0,0,0,0,1
BASIC,268,C14,18.3,4,3,0,1,26,1,0,4.59,6.11,1.33,0,1,0,1401,4.6,2,0,1,14,0,1,1,2,0,0,0,0,0,0,0,0,0,0,1
BASIC,271,C14,45.9,2,2,0,1,36,0,1,22.93,22.93,1,0,1,0,1401,11.5,2,0,1,14,0,1,1,1.5,0,0,0,0,0,0,0,0,0,0,1
BASIC,272,C14,45.9,2,2,1,0,44,0,1,22.93,22.93,1,0,1,0,1401,11.5,2,0,1,14,0,1,1,1.5,0,0,0,0,0,0,0,0,0,0,1
BASIC,273,C14,11,1,1,0,1,80,0,1,11,11,1,0,1,0,1401,2.8,2,0,1,14,0,1,1,1.75,0,0,0,0,0,0,0,0,0,0,1
BASIC,274,C14,27.5,4,4,0,1,45,0,1,6.88,6.88,1,0,1,0,1401,6.9,2,0,1,14,0,1,0,2.25,0,0,0,0,0,0,0,0,0,0,1
BASIC,277,C15,27.5,1,1,0,1,32,1,0,27.51,27.51,0,0,1,1,1382,6.9,2,0,1,15,0,1,1,2,0,0,0,0,0,0,0,0,0,0,1
BASIC,3,C1,18.3,0.7,1,0,1,64,0,1,24.78,18.34,0,1,0,2,1237,4.6,1,1,0,1,1,0,1,1.47,0,1,1,0,0,0,0,0,0,2,1
BASIC,345,C18,18.3,2,2,1,0,48,1,0,9.17,9.17,1,0,1,1,1225,4.6,2,0,1,18,0,1,1,1.25,0,0,1,0,0,0,0,0,0,1,1
BASIC,353,C18,18.3,2,2,0,1,45,1,0,9.17,9.17,1,0,1,1,1225,4.6,2,0,1,18,0,1,0,4.75,0,0,1,0,0,0,0,0,0,1,1
BASIC,346,C18,27.5,2.4,2,1,0,47,1,0,11.46,13.76,1.2,0,1,1,1225,6.9,2,0,1,18,0,1,0,2.5,0,0,1,0,0,0,0,0,0,1,1
BASIC,347,C18,27.5,2,2,0,1,46,0,1,13.76,13.76,1,0,1,1,1225,6.9,2,0,1,18,0,1,0,3,0,0,1,0,0,0,0,0,0,1,1
BASIC,348,C18,27.5,2,4,0,1,48,1,0,13.76,6.88,0.5,1,0,1,1225,6.9,2,0,1,18,0,1,0,7.5,0,0,1,0,0,0,0,0,0,1,1
BASIC,349,C18,27.5,2,2,0,1,71,1,0,13.76,13.76,1,0,1,1,1225,6.9,2,0,1,18,0,1,0,3.75,0,0,1,0,0,0,0,0,0,1,1
BASIC,352,C18,36.7,2,2,0,1,58,1,0,18.34,18.34,1,0,1,1,1225,9.2,2,0,1,18,0,1,0,5,0,0,1,0,0,0,0,0,0,1,1
BASIC,350,C18,45.9,2,2,0,1,33,1,0,22.93,22.93,1,0,1,1,1225,11.5,2,0,1,18,0,1,0,2.5,0,0,1,0,0,0,0,0,0,1,1
BASIC,104,C6,45.9,1.5,3,1,0,32,1,0,31.19,15.28,0.49,1,0,1,847,11.5,1,1,0,6,1,0,0,4.9,1,0,0,0,1,1,1,0,0,4,1
BASIC,302,C16,183.4,8,1,1,0,54,0,1,22.93,183.4,8,0,1,1,1262,45.9,2,0,1,16,0,1,1,0.5,0,0,1,0,0,0,0,0,0,1,1
BASIC,358,C19,45.9,2,20,0,1,55,1,0,22.93,2.29,0.1,1,0,1,1381,11.5,2,0,1,19,1,0,0,120,0,0,0,1,0,0,1,0,0,2,1
BASIC,373,C20,13.8,0.5,1,0,1,29,0,1,27.51,13.76,0.5,1,0,0,1217,3.4,2,0,1,20,1,0,0,2.5,0,0,0,0,0,0,0,0,0,0,1
BASIC,411,C23,45.9,0.8,3,1,0,54,0,1,61.13,15.28,0.25,1,0,0,1174,11.5,2,0,1,23,1,0,0,10,0,0,0,0,0,1,1,0,0,2,1
BASIC,313,C17,47.7,2,5,0,1,35,0,1,23.84,9.54,0.4,1,0,1,1250,11.9,2,0,1,17,0,1,1,2,0,0,1,1,1,1,1,0,1,7,1
AREA,345,C18,18.3,2,2,1,0,48,1,0,9.17,9.17,1,0,1,1,1225,4.6,2,0,1,18,0,1,1,1.25,0,0,1,0,0,0,0,0,0,1,1
AREA,353,C18,18.3,2,2,0,1,45,1,0,9.17,9.17,1,0,1,1,1225,4.6,2,0,1,18,0,1,0,4.75,0,0,1,0,0,0,0,0,0,1,1
AREA,346,C18,27.5,2.4,2,1,0,47,1,0,11.46,13.76,1.2,0,1,1,1225,6.9,2,0,1,18,0,1,0,2.5,0,0,1,0,0,0,0,0,0,1,1
