Age,Area,Plot,Price Ha,Genus,DistanceHotsot
5,5,5,5,5,5
0,0,0,0,0,0
3.135417,1.886598,2.928571,3.412371,2.773196,4.278351
3.058442,1.878981,2.871212,3.617834,2.898089,4.082803
3.14433,1.893401,2.892857,3.725888,2.827411,4.030457
